,词语,次数
1328,听见,620
1329,吓人,619
1330,绵阳,619
1331,早日,618
1332,饼,616
1333,越,616
1334,看不出来,616
1335,拐子,615
1336,爽,615
1337,端过来,615
1338,稀奇,615
1339,骄傲,614
1340,水萝卜,614
1341,闺蜜,614
1342,看热闹,614
1343,迟到,614
1344,大舅,614
1345,我加,613
1346,性价比,613
1347,家门口,612
1348,浪费,612
1349,粮食,612
1350,嘬,610
1351,屋里,609
1352,糊,609
1353,上饶,608
1354,卫生,608
1355,猪脚,608
1356,信,607
1357,剥蒜,605
1358,吖,605
1359,君,604
1360,⚠,604
1361,开门,604
1362,我住,603
1363,l,603
1364,入口,603
1365,空气,603
1366,花楼,602
1367,百灵鸟,602
1368,垃圾,601
1369,后悔,601
1370,高级,601
1371,有财,601
1372,明人,601
1373,暗话,601
1374,餐巾,600
1375,感,600
1376,各家,600
1377,哪条,600
1378,瞬间,599
1379,这狗,599
1380,太咸,599
1381,厕所,598
1382,左下角,598
1383,香菜,598
1384,限量版,597
1385,辣椒,597
1386,骂,597
1387,更热,597
1388,不愧,596
1389,仔细,595
1390,剧,595
1391,慢慢,594
1392,咯,592
1393,愿,591
1394,抢镜,591
1395,泡,591
1396,黑蒜,591
1397,加量,590
1398,f,590
1399,一顿,588
1400,汤里,588
1401,有治,588
1402,米,587
1403,最爱,586
1404,接受,586
1405,人会,585
1406,搭配,584
1407,敏感,583
1408,肌,583
1409,哦哦哦,581
1410,有光,581
1411,一身,581
1412,大姨妈,581
1413,鸟,581
1414,缺,580
1415,好人,580
1416,吉庆,579
1417,成本,579
1418,我天,579
1419,剩,579
1420,期间,579
1421,难,578
1422,香皂,576
1423,流水席,576
1424,南方人,575
1425,真幸福,575
1426,转笔,575
1427,晚,574
1428,唧唧,574
1429,床上,574
1430,那条,573
1431,老哥,572
1432,明白,572
1433,杭州,572
1434,回头,572
1435,牙痛,571
1436,恐惧症,571
1437,惹,570
1438,我爱你,570
1439,明明白白,570
1440,煨,570
1441,冰粉,570
1442,长大,569
1443,贡品,569
1444,入坑,569
1445,只能,568
1446,南宁,566
1447,抢,566
1448,别念,566
1449,↓,565
1450,一斤,565
1451,emmm,565
1452,虎泉,565
1453,管用,565
1454,人爱,563
1455,一生,563
1456,穷,561
1457,上学,560
1458,一箱,560
1459,社交能力,560
1460,一秒,559
1461,店名,559
1462,本体,558
1463,冷粉,558
1464,打包,557
1465,棒棒,557
1466,抽,556
1467,人儿,555
1468,所有人,555
1469,OK,554
1470,这量,554
1471,绝配,553
1472,弯,553
1473,黄,553
1474,这盆,553
1475,PDD,551
1476,板栗,551
1477,报告,550
1478,节目,549
1479,止血,549
1480,爸,549
1481,自然,548
1482,到时候,548
1483,胜利,547
1484,I,547
1485,徐,546
1486,骗人,546
1487,盖盖,546
1488,吃粉,545
1489,噶,545
1490,羊,544
1491,西瓜,544
1492,一次性,544
1493,冰,544
1494,苏州,544
1495,妞,544
1496,美肚,544
1497,咽,543
1498,TM,543
1499,不想,542
1500,大江,542
1501,大湖,542
1502,远亲不如近邻,542
1503,吃播,541
1504,有缘,541
1505,辣到,541
1506,戴,541
1507,用处,541
1508,我人,541
1509,离开,540
1510,烧菜,540
1511,出战,540
1512,去年,540
1513,w,539
1514,吃面,539
1515,这集,538
1516,一小,538
1517,留点,538
1518,下山,538
1519,说实话,538
1520,活着,537
1521,欢迎您,536
1522,人情世故,536
1523,泡粉,535
1524,投币,535
1525,个子,535
1526,天上,535
1527,福建,535
1528,光顾,535
1529,鲁,535
1530,❤,534
1531,搜,534
1532,抚州,533
1533,比基尼,533
1534,众所周知,532
1535,绝绝子,532
1536,卡,530
1537,几十年,530
1538,皇帝,529
1539,深,529
1540,无锡,529
1541,杨姐,528
1542,我放,528
1543,块钱,527
1544,鹰潭,527
1545,别去了,526
1546,保存,526
1547,腹语,526
1548,撑,526
1549,慈祥,526
1550,我点,524
1551,皆,524
1552,豆皮,523
1553,娶,523
1554,优待,522
1555,快来,522
1556,随州,522
1557,人超,522
1558,昂,522
1559,款待,521
1560,变,521
1561,俘虏,521
1562,刻晴,521
1563,感触,520
1564,后街,520
1565,应季,520
1566,爆炸,519
1567,大S,518
1568,人想,517
1569,C,516
1570,邪,516
1571,常态,515
1572,玉米,515
1573,爪,515
1574,i,514
1575,DJ,514
1576,人心,514
1577,最香,514
1578,这段,513
1579,通气,513
1580,话身,513
1581,高高的,513
1582,一头,512
1583,六味地黄,512
1584,马冬梅,512
1585,接地,511
1586,拇指,511
1587,填,511
1588,新来,511
1589,感叹,510
1590,疼,510
1591,百步亭,510
1592,捂脸,510
1593,粿,509
1594,值得,508
1595,电动牙刷,508
1596,咋啦,508
1597,坏,508
1598,早点,507
1599,重,507
1600,铁棍子,507
1601,主任,507
1602,总,507
1603,老友,507
1604,蒸,506
1605,羊肉串,506
1606,胖子,506
1607,大半夜,505
1608,清炒,505
1609,温州,505
1610,便秘,504
